rlut, ROLE, W/m2
zos, sea_level, m
hfls, CLSF, W/m2
rsut, ROCE, W/m2
difvtrbo, diff_cbt_back, m2/s
rldscs, OLIC, W/m2
soga, salt_global_ave, 1
difmxybo, aiso_bih, m4/s
omldamax, hblt, m
hur, RHMT, %
tossq, potential_temp, K^2
hfsnthermds, fprec_melt_heat, W/m2
tnkebto, gm_eddy_ke_source, W/m2
tas, T02M, K
evspsbl, EVAP, kg/m2/day
psl, PSLC, hPa
strocny, FW_Y, Pa
rsdscs, OCIC, W/m2
difvho, diff_cbt_t, m2/s
vsi, VI, m/s
rsussi, SW, W/m2
difvmfdo, visc_cbu_form_drag_u, m2/s
diftrelo, aredi_3d, m2/s
sfcWind, S10M, m/s
pso, patm_t, Pa
tauvo, tau_y, N/m2
hfss, CSSF, W/m2
uas, U10M, m/s
sit, HI, m
fsitherm, melt, kg/m2/s
mrsos, USSL, 
vas, V10M, m/s
thetaoga, pot_temp_global_ave, K
va, VVEL, m/s
rlds, OLIS, W/m2
hflssi, LH, W/m2
pr, PREC, kg/m2/day
tsice, TS, K
snd, HS, m
wap, OMTM, cbar/s
hcice, E2MELT, J/m2
difvmbo, visc_cbu_back, m2/s
mlotst, mld, m
prsn, NEVE, kg/m2/day
rsds, OCIS, W/m2
tslsi, TSFC, K
thkcello, dzt, m
rlutcs, LWTC, W/m2
friver, runoff, kg/m2/s
huss, Q02M, 1
tnpeotb, power_diss_back, W/m2
hus, UMES, 1
tauu, USST, Pa
prw, PCMT, kg/m2
ps, PSLC, hPa
prc, PRCV, kg/m2/day
ta, TEMP, K
wmo, tz_trans, kg/s
rhopoto, pot_rho_0, kg/m3
ua, UVEL, m/s
masso, total_mass_seawater, kg
uo, u, m/s
mrro, RNOF, kg/m2/s
zg, GHMT, m
rlussi, LW, W/m2
tnpeo, power_diss, W/m2
clwvi, WTNV, %
tos, surface_potential_temp, K
cl, VDCC, 1
ialb, ALB, 1
snoToIce, SN2IC, kg/m2/s
strairy, FA_Y, Pa
sic, CN, 1
